MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,TotalFullBath,TotalHalfBath,Total Bath,Overall,Exter,Garage,Surface_sup,Renovation,Surface_sup_ext,Bsmt,SalePrice_m2,Saleprice_m2_quartier,Saleprice_med_quartier,Saleprice_mean_quartier
20,RL,141.0,31770,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,6,6,CBlock,6.0,8.0,8.0,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,Y,SBrkr,1656,0,0,1656,1.0,0.0,1,0,3,1,TA,7,Typ,2,Attchd,1960.0,Fin,2.0,528.0,6.0,6.0,P,210,62,0,0,0,0,0,5,2010,WD ,Normal,215000,2.0,0.0,2.0,11,12,12.0,1608.0,62,0,22.0,129.83091787439614,119.55,140000.0,145097
20,RH,80.0,11622,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,6,6,CBlock,6.0,6.0,2.0,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,TA,5,Typ,0,Attchd,1961.0,Unf,1.0,730.0,6.0,6.0,Y,140,0,0,0,120,0,0,6,2010,WD ,Normal,105000,1.0,0.0,1.0,11,12,12.0,1612.0,61,120,14.0,117.1875,119.55,140000.0,145097
20,RL,81.0,14267,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,6,6,CBlock,6.0,6.0,2.0,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,Gd,6,Typ,0,Attchd,1958.0,Unf,1.0,312.0,6.0,6.0,Y,393,36,0,0,0,0,12500,6,2010,WD ,Normal,172000,1.0,1.0,1.5,12,12,12.0,1641.0,64,0,14.0,129.4206170052671,119.55,140000.0,145097
20,RL,93.0,11160,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,8,6,CBlock,6.0,6.0,2.0,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,Ex,Y,SBrkr,2110,0,0,2110,1.0,0.0,2,1,3,1,Ex,8,Typ,2,Attchd,1968.0,Fin,2.0,522.0,6.0,6.0,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,244000,3.0,1.0,3.5,12,14,12.0,2632.0,54,0,14.0,115.63981042654028,119.55,140000.0,145097
20,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,6,6,CBlock,6.0,6.0,2.0,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,Attchd,1970.0,Fin,2.0,480.0,6.0,6.0,Y,0,0,0,0,0,0,700,3,2010,WD ,Normal,149000,2.0,0.0,2.0,13,12,12.0,1484.0,52,0,14.0,148.40637450199202,119.55,140000.0,145097
20,RL,,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,6,6,CBlock,6.0,6.0,2.0,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1971.0,Fin,2.0,500.0,6.0,6.0,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,149900,2.0,1.0,2.5,11,12,12.0,1578.0,14,0,14.0,139.05380333951763,119.55,140000.0,145097
20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,6,6,CBlock,6.0,6.0,2.0,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,6,Typ,1,Attchd,1968.0,Unf,1.0,304.0,6.0,6.0,Y,0,85,184,0,0,0,0,7,2010,WD ,Normal,142000,2.0,0.0,2.0,11,12,12.0,1360.0,54,184,14.0,134.46969696969697,119.55,140000.0,145097
20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,6,6,CBlock,6.0,6.0,2.0,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,TA,4,Typ,0,Attchd,1970.0,Fin,2.0,525.0,6.0,6.0,Y,240,0,0,0,0,0,0,4,2010,WD ,Normal,126000,2.0,0.0,2.0,9,12,12.0,1407.0,52,0,14.0,142.85714285714286,119.55,140000.0,145097
20,RL,70.0,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,6,6,CBlock,6.0,6.0,2.0,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,1,,,,0.0,0.0,,,Y,0,0,0,0,0,0,0,4,2010,ConLI,Normal,115000,1.0,0.0,1.0,9,12,,864.0,51,0,14.0,133.10185185185185,119.55,140000.0,145097
120,RH,26.0,5858,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,8,6,PConc,8.0,6.0,2.0,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,Gd,5,Typ,1,Attchd,1999.0,Fin,2.0,511.0,6.0,6.0,Y,203,68,0,0,0,0,0,6,2010,WD ,Normal,184000,3.0,0.0,3.0,12,14,12.0,1916.0,23,0,16.0,137.62154076290201,119.55,140000.0,145097
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,6,6,CBlock,6.0,6.0,2.0,Rec,698.0,Unf,0.0,534.0,1232.0,GasA,TA,Y,SBrkr,1232,0,0,1232,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1966.0,RFn,2.0,490.0,6.0,6.0,Y,0,224,0,0,0,0,0,4,2010,WD ,Normal,142250,2.0,1.0,2.5,10,12,12.0,1722.0,56,0,14.0,115.46266233766234,119.55,140000.0,145097
20,RL,77.0,9320,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,CompShg,Plywood,Plywood,None,0.0,6,6,CBlock,6.0,6.0,2.0,ALQ,569.0,Unf,0.0,381.0,950.0,GasA,Fa,Y,SBrkr,1225,0,0,1225,1.0,0.0,1,1,3,1,TA,6,Typ,0,,,,0.0,0.0,,,Y,352,0,0,0,0,0,400,1,2010,WD ,Normal,128950,2.0,1.0,2.5,9,12,,950.0,63,0,14.0,105.26530612244898,119.55,140000.0,145097
20,RL,90.0,9900,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0.0,6,6,PConc,8.0,6.0,2.0,BLQ,1059.0,Unf,0.0,150.0,1209.0,GasA,Gd,Y,SBrkr,1209,0,0,1209,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1966.0,RFn,2.0,504.0,6.0,6.0,Y,0,0,120,0,0,0,0,4,2010,ConLD,Normal,159000,2.0,0.0,2.0,10,12,12.0,1713.0,56,120,16.0,131.5136476426799,119.55,140000.0,145097
20,RL,88.0,9680,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,Wd Sdng,Plywood,BrkFace,268.0,6,6,CBlock,6.0,6.0,2.0,BLQ,1010.0,Unf,0.0,500.0,1510.0,GasA,Ex,Y,SBrkr,1510,0,0,1510,1.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,1967.0,RFn,2.0,517.0,6.0,6.0,Y,0,40,0,0,204,0,0,4,2010,WD ,Normal,178900,3.0,0.0,3.0,11,12,12.0,2027.0,55,204,14.0,118.47682119205298,119.55,140000.0,145097
80,RL,,10600,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0.0,6,6,CBlock,6.0,6.0,2.0,Unf,0.0,Unf,0.0,533.0,533.0,GasA,TA,Y,SBrkr,1131,644,0,1775,0.0,0.0,2,0,3,1,TA,8,Typ,0,Attchd,1964.0,Unf,2.0,480.0,6.0,6.0,Y,0,172,0,0,0,0,0,5,2010,COD,Family,136300,2.0,0.0,2.0,11,12,12.0,1013.0,58,0,14.0,76.78873239436619,119.55,140000.0,145097
80,RL,,14112,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,7,1964,1964,Hip,CompShg,Wd Sdng,HdBoard,BrkFace,86.0,6,6,PConc,6.0,6.0,6.0,GLQ,1014.0,Unf,0.0,138.0,1152.0,GasA,TA,Y,SBrkr,1152,0,0,1152,1.0,0.0,1,0,3,1,TA,6,Typ,1,Attchd,1964.0,RFn,2.0,484.0,6.0,6.0,Y,227,0,0,0,0,0,0,4,2010,WD ,Normal,180500,2.0,0.0,2.0,12,12,12.0,1636.0,58,0,18.0,156.68402777777777,119.55,140000.0,145097
85,RL,80.0,8800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6,7,1963,1963,Gable,CompShg,MetalSd,MetalSd,BrkFace,156.0,6,8,PConc,6.0,6.0,8.0,GLQ,763.0,Unf,0.0,173.0,936.0,GasA,Ex,Y,SBrkr,1054,0,0,1054,1.0,0.0,1,0,3,1,Gd,6,Typ,0,Attchd,1963.0,RFn,2.0,480.0,6.0,6.0,Y,120,0,0,0,0,0,0,5,2010,WD ,Abnorml,137500,2.0,0.0,2.0,13,14,12.0,1416.0,59,0,20.0,130.45540796963948,119.55,140000.0,145097
90,RL,98.0,13260,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,6,1962,2001,Hip,CompShg,HdBoard,HdBoard,BrkFace,144.0,6,6,CBlock,6.0,6.0,2.0,BLQ,1500.0,Unf,0.0,228.0,1728.0,GasA,TA,Y,SBrkr,1728,0,0,1728,2.0,0.0,2,0,6,2,TA,10,Typ,0,,,,0.0,0.0,,,Y,0,0,0,0,0,0,0,1,2010,Oth,Abnorml,84900,4.0,0.0,4.0,11,12,,1728.0,21,0,14.0,49.13194444444444,119.55,140000.0,145097
