Neighborhood,Overall Qual,Year Built,Garage Area,TotalFullBath,Exter Qual,Kitchen Qual,Gr Liv Area,Foundation,Total Bsmt SF,Total Bath,Overall,Exter,Surface_sup,Renovation,Surface_sup_ext,Bsmt,Saleprice_m2_quartier,1st Flr SF,Full Bath,SalePrice,Garage,Renovation,Saleprice_med_quartier,Saleprice_mean_quartier
NAmes,6,1960,528.0,2,6,TA,1656,CBlock,1080.0,2.0,11,12,1608.0,62,0,22.0,119.55,1656,1,215000,12.0,62,140000.0,145097
NAmes,5,1961,730.0,1,6,TA,896,CBlock,882.0,1.0,11,12,1612.0,61,120,14.0,119.55,896,1,105000,12.0,61,140000.0,145097
NAmes,6,1958,312.0,1,6,Gd,1329,CBlock,1329.0,1.5,12,12,1641.0,64,0,14.0,119.55,1329,1,172000,12.0,64,140000.0,145097
NAmes,7,1968,522.0,3,8,Ex,2110,CBlock,2110.0,3.5,12,14,2632.0,54,0,14.0,119.55,2110,2,244000,12.0,54,140000.0,145097
NAmes,6,1970,480.0,2,6,TA,1004,CBlock,1004.0,2.0,13,12,1484.0,52,0,14.0,119.55,1004,1,149000,12.0,52,140000.0,145097
NAmes,5,1971,500.0,2,6,TA,1078,CBlock,1078.0,2.5,11,12,1578.0,14,0,14.0,119.55,1078,1,149900,12.0,14,140000.0,145097
NAmes,5,1968,304.0,2,6,TA,1056,CBlock,1056.0,2.0,11,12,1360.0,54,184,14.0,119.55,1056,1,142000,12.0,54,140000.0,145097
NAmes,4,1970,525.0,2,6,TA,882,CBlock,882.0,2.0,9,12,1407.0,52,0,14.0,119.55,882,1,126000,12.0,52,140000.0,145097
NAmes,4,1971,0.0,1,6,TA,864,CBlock,864.0,1.0,9,12,864.0,51,0,14.0,119.55,864,1,115000,,51,140000.0,145097
NAmes,7,1999,511.0,3,8,Gd,1337,PConc,1405.0,3.0,12,14,1916.0,23,0,16.0,119.55,1337,2,184000,12.0,23,140000.0,145097
NAmes,5,1966,490.0,2,6,TA,1232,CBlock,1232.0,2.5,10,12,1722.0,56,0,14.0,119.55,1232,1,142250,12.0,56,140000.0,145097
NAmes,4,1959,0.0,2,6,TA,1225,CBlock,950.0,2.5,9,12,950.0,63,0,14.0,119.55,1225,1,128950,,63,140000.0,145097
NAmes,5,1966,504.0,2,6,TA,1209,PConc,1209.0,2.0,10,12,1713.0,56,120,16.0,119.55,1209,1,159000,12.0,56,140000.0,145097
NAmes,5,1967,517.0,3,6,Gd,1510,CBlock,1510.0,3.0,11,12,2027.0,55,204,14.0,119.55,1510,2,178900,12.0,55,140000.0,145097
NAmes,6,1964,480.0,2,6,TA,1775,CBlock,533.0,2.0,11,12,1013.0,58,0,14.0,119.55,1131,2,136300,12.0,58,140000.0,145097
NAmes,5,1964,484.0,2,6,TA,1152,PConc,1152.0,2.0,12,12,1636.0,58,0,18.0,119.55,1152,1,180500,12.0,58,140000.0,145097
NAmes,6,1963,480.0,2,6,Gd,1054,PConc,936.0,2.0,13,14,1416.0,59,0,20.0,119.55,1054,1,137500,12.0,59,140000.0,145097
NAmes,5,1962,0.0,4,6,TA,1728,CBlock,1728.0,4.0,11,12,1728.0,21,0,14.0,119.55,1728,2,84900,,21,140000.0,145097
NAmes,5,1950,240.0,2,6,Gd,1078,CBlock,1078.0,2.0,11,12,1318.0,26,112,16.0,119.55,1078,1,142125,12.0,26,140000.0,145097
NAmes,5,1952,400.0,2,8,TA,2461,CBlock,1140.0,2.0,12,14,1540.0,20,0,14.0,119.55,1929,2,197600,12.0,20,140000.0,145097
NAmes,6,1949,470.0,2,6,TA,1556,CBlock,782.0,2.0,12,14,1252.0,72,150,14.0,119.55,1019,2,172500,12.0,72,140000.0,145097
NAmes,5,1954,280.0,2,6,TA,1063,CBlock,1056.0,2.0,10,12,1336.0,68,164,14.0,119.55,1063,1,128000,12.0,68,140000.0,145097
